"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für Marine Mikrobiologie, Bibliothek"	"MPIMM"	"DE-Bre11"
"Max-Planck-Institut für Mathematik in den Naturwissenschaften, Bibliothek"	"MPIMN"	"DE-L323"
"Max-Planck-Institut für Molekulare Pflanzenphysiologie, Bibliothek"	"MPIMP"	"DE-Po80"
"Max-Planck-Institut für Mikrostrukturphysik, Bibliothek"	"MPIMS"	"DE-Ha94"
"Max-Planck-Institut für Kognitions- und Neurowissenschaften, Bibliothek"	"MPINF"	"DE-L322"
"Max-Planck-Institut für Polymerforschung, Bibliothek"	"MPIP"	"DE-Mz116"
"Max-Planck-Institut für Herz- und Lungenforschung, W. G. Kerckhoff-Institut, Bibliothek"	"MPIPK"	"DE-Nau1"
"Max-Planck-Institut für Psycholinguistik, Bibliothek"	"MPIPL"	"DE-Y4"
"Max-Planck-Institut für Plasmaphysik, Bibliothek"	"MPIPP"	"DE-M359"
"Max-Planck-Institut für ausländisches und internationales Privatrecht, Bibliothek"	"MPIPR"	"DE-B212"
"Max-Planck-Institute Stuttgart, Bibliothek"	"MPIS"	"DE-Stg113"
"Max-Planck-Institut für Sozialrecht und Sozialpolitik, Abteilung für ausländisches und internationales Sozialrecht sowie Abteilung Munich Center for the Economics of Aging (MEA), Bibliothek"	"MPISR"	"DE-M477"
"Max-Planck-Haus, Bibliothek"	"MPIT"	"DE-B107"
"Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht, Bibliothek"	"MPIV"	"DE-B208"
"Max-Planck-Institut für Wissenschaftsgeschichte, Bibliothek"	"MPIWG"	"DE-B2226"
"Max-Planck-Institut für Pflanzenzüchtungsforschung, Bibliothek"	"MPIZ"	"DE-Vol1"
"Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Bibliothek"	"MPPRG"	"DE-Bo407"
"Max-Planck-Institut für Quantenoptik, Bibliothek"	"MPQUA"	"DE-M484"
"Hochschule Nordhausen, Hochschulbibliothek"	"NDH"	"DE-564"
"Paul-Ehrlich-Institut, Bundesinstitut für Impfstoffe und biomedizinische Arzneimittel, Bibliothek"	"PEI"	"DE-F20"
"Bibliothek der Pädagogischen Hochschule Freiburg/Breisgau"	"PHBFR"	"DE-Frei129"
"Pädagogische Hochschule, Bibliothek"	"PHGD"	"DE-752"
"Max-Planck-Institut für Physik komplexer Systeme, Bibliothek"	"PKS"	"DE-D206"
"Physikalisch-Technische Bundesanstalt, Institut Berlin, Bibliothek"	"PTB"	"DE-B108"
"Robert Koch-Institut, Bibliothek Berlin"	"RKI"	"DE-B106"
"Ruhr-Universität Bochum, Universitätsbibliothek"	"RUBO"	"DE-294"
"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Haus Potsdamer Straße"	"SBBPK"	"DE-1a"
"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden"	"SLUB"	"DE-14"
"Niedersächsische Staats- und Universitätsbibliothek Göttingen"	"SUBGO"	"DE-7"
"Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky"	"SUBHH"	"DE-18"
"Saarländische Universitäts- und Landesbibliothek"	"SULB"	"DE-291"
"Staats- und Universitätsbibliothek Bremen"	"SUUB"	"DE-46"
"Stiftung Wissenschaft und Politik (SWP), Bibliothek"	"SWP"	"DE-B1567"
"Technische Hochschule Wildau [FH], Hochschulbibliothek"	"TFHW"	"DE-526"
"Technische Hochschule Bingen, Bibliothek"	"THB"	"DE-Bin1"
"Thüringer Universitäts- und Landesbibliothek"	"THULB"	"DE-27"
"Stiftung Tierärztliche Hochschule Hannover, Bibliothek"	"TIHO"	"DE-95"
"TU Berlin, Universitätsbibliothek"	"TUBB"	"DE-83"
"Technische Universität Bergakademie Freiberg, Bibliothek 'Georgius Agricola'"	"TUBFR"	"DE-105"
"Universitätsbibliothek Braunschweig"	"TUBS"	"DE-84"
"Brandenburgische Technische Universität Cottbus - Senftenberg, Universitätsbibliothek"	"TUCB"	"DE-634"
"Technische Universität Chemnitz, Universitätsbibliothek"	"TUCHE"	"DE-Ch1"
"TU Darmstadt, Universitäts- und Landesbibliothek - Stadtmitte"	"TUDA"	"DE-17"
"Technische Universität Hamburg, Universitätsbibliothek"	"TUHH"	"DE-830"
"Technische Universität München, Universitätsbibliothek"	"TUM"	"DE-91"
"Universitätsbibliothek Augsburg"	"UBA"	"DE-384"
"Universitätsbibliothek Bamberg"	"UBB"	"DE-473"
"Universitätsbibliothek Bayreuth"	"UBBAY"	"DE-703"
"Universitätsbibliothek Bielefeld"	"UBBIE"	"DE-361"
"UB Weimar"	"UBBUW"	"DE-Wim2"
"Universitätsbibliothek Clausthal"	"UBCL"	"DE-104"
"Universitätsbibliothek Dortmund"	"UBDO"	"DE-290"
"Universitätsbibliothek Duisburg-Essen, Campus Duisburg"	"UBDU"	"DE-464"
"Universitätsbibliothek Eichstätt-Ingolstadt"	"UBE"	"DE-824"
"Universitätsbibliothek Erlangen-Nürnberg, Wirtschafts- und Sozialwissenschaftliche Zweigbibliothek"	"UBEN"	"DE-N2"
"Forschungsbibliothek Gotha"	"UBERF"	"DE-39"
"Universitätsbibliothek J. C. Senckenberg, Medizinische Hauptbibliothek (MedHB)"	"UBFM"	"DE-F21"
"Universitätsbibliothek Freiburg"	"UBFRE"	"DE-25"
"Universitätsbibliothek Gießen"	"UBGIE"	"DE-26"
"Universitätsbibliothek Greifswald"	"UBGRW"	"DE-9"
"Universitätsbibliothek Heidelberg"	"UBHE"	"DE-16"
"Universitätsbibliothek Hildesheim"	"UBHI"	"DE-Hil2"
"Zentrale Hochschulbibliothek Lübeck"	"UBHL"	"DE-841"
"Kommunikations-, Informations- und Medienzentrum der Universität Hohenheim"	"UBHOH"	"DE-100"
"Universitätsbibliothek Ilmenau"	"UBIL"	"DE-Ilm1"
"Universitätsbibliothek Kiel, Zentralbibliothek"	"UBK"	"DE-8"
"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"	"UBKAS"	"DE-34"
"Universitätsbibliothek Kaiserslautern"	"UBKL"	"DE-386"
"Universität Konstanz, Kommunikations-, Informations-, Medienzentrum (KIM)"	"UBKO"	"DE-352"
"Universitätsbibliothek Leipzig"	"UBL"	"DE-15"
"Leuphana Universität Lüneburg, Medien- und Informationszentrum, Universitätsbibliothek"	"UBLUE"	"DE-Luen4"
"Universitätsbibliothek der LMU München"	"UBM"	"DE-19"
"Universität Marburg, Universitätsbibliothek"	"UBMA"	"DE-4"
"Universitätsbibliothek Mannheim"	"UBMAN"	"DE-180"
"Otto-von-Guericke-Universität, Universitätsbibliothek"	"UBMD"	"DE-Ma9"
"Universität Mainz, Zentralbibliothek"	"UBMZ"	"DE-77"
"Universitätsbibliothek Osnabrück"	"UBOS"	"DE-700"
"Universitätsbibliothek Passau"	"UBPA"	"DE-739"
"Universitätsbibliothek Paderborn"	"UBPB"	"DE-466"
"Universität Potsdam, Universitätsbibliothek"	"UBPO"	"DE-517"
"Universitätsbibliothek Regensburg"	"UBR"	"DE-355"
"Universitätsbibliothek Rostock"	"UBRO"	"DE-28"
"Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"Universitätsbibliothek Siegen"	"UBSI"	"DE-467"
"Technische Informationsbibliothek (TIB) / Leibniz-Informationszentrum Technik und Naturwissenschaften und Universitätsbibliothek"	"UBTIB"	"DE-89"
"Universitätsbibliothek Trier"	"UBTR"	"DE-385"
"Universitätsbibliothek der Eberhard Karls Universität"	"UBTUE"	"DE-21"
"Universitätsbibliothek Würzburg"	"UBW"	"DE-20"
"Helmut-Schmidt-Universität, Universität der Bundeswehr Hamburg, Universitätsbibliothek"	"UBWH"	"DE-705"
"Universität der Bundeswehr München, Universitätsbibliothek"	"UBWM"	"DE-706"
"Universitätsbibliothek Wuppertal"	"UBWUP"	"DE-468"
"Universitätsbibliothek Duisburg-Essen, Campus Essen"	"UGHE"	"DE-465"
"Universitätsklinikum Hamburg-Eppendorf, Ärztliche Zentralbibliothek"	"UKE"	"DE-18-64"
"Universitäts- und Landesbibliothek Bonn"	"ULBB"	"DE-5"
"Universitäts- und Landesbibliothek Düsseldorf"	"ULBD"	"DE-61"
"Universitäts- und Landesbibliothek Sachsen-Anhalt / Zentrale"	"ULBH"	"DE-3"
"Universitäts- und Landesbibliothek Münster"	"ULBMS"	"DE-6"
"Universitätsbibliothek Witten / Herdecke"	"UNIWH"	"DE-1018"
"Universitäts- und Stadtbibliothek Köln, Hauptabteilung"	"USBK"	"DE-38"
"Westsächsische Hochschule Zwickau, Bibliothek"	"WHZ"	"DE-Zwi2"
"Württembergische Landesbibliothek"	"WLB"	"DE-24"
"Wissenschaftszentrum Berlin für Sozialforschung, Wissenschaftliche Information - Bibliothek"	"WZB"	"DE-B1543"
"Zentralbibliothek der Sportwissenschaften der Deutschen Sporthochschule Köln"	"ZBSK"	"DE-Kn41"
"ZEW - Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH, Mannheim / Spezialbibliothek"	"ZEW"	"DE-Mh36"
"Zentralinstitut für Seelische Gesundheit, Bibliothek"	"ZIM"	"DE-Mh32"
"Deutsches Zentrum für Neurodegenerative Erkrankungen"	"DZNE"	"DE-2719"
"Deutsche Bundesbank - Bibliothek der Zentrale - Frankfurt am Main"	"DBB"	"DE-F59"
"Landesbibliothekszentrum Rheinland-Pfalz"	"LBZ"	"DE-929"
"UB Landau der Universitätsbibliothek Koblenz-Landau"	"BIBLA"	"DE-Lan1" 
"Max-Planck-Institut für Chemische Energiekonversion, Mülheim"	"MPIST"	"DE-Mm1a"
"Max-Planck-Institut für demographische Forschung, Rostock"	"MPIDF"	"DE-R133"
