DHBW Lörrach, Bibliothek	Duale Hochschule Baden-Wu.rttemberg Lo.rrach
DIE-Bibliothek für Erwachsenenbildung	Deutsches Institut für Erwachsenenbildung
DLR - Deutsches Zentrum für Luft- und Raumfahrt	Deutsches Zentrum fu.r Luft- und Raumfahrt
Duale Hochschule Baden-Württemberg	Duale Hochschule Baden-Wu.rttemberg
Duale Hochschule Baden-Württemberg DHBW Karlsruhe	Duale Hochschule Baden-Wu.rttemberg Karlsruhe
Duale Hochschule Baden-Württemberg Heidenheim Bibliothek	Duale Hochschule Baden-Wu.rttemberg Heidenheim
Duale Hochschule Baden-Württemberg Stuttgart	Duale Hochschule Baden-Wu.rttemberg Stuttgart
Duale Hochschule Baden-Württemberg Villingen-Schwenningen, Bibliothek	Duale Hochschule Baden-Wu.rttemberg Villingen-Schwenningen
EBS Universität für Wirtschaft und Recht	EBS Universita.t fu.r Wirtschaft und Recht
Erzbischöfliche Akademische Bibliothek Paderborn	Theologische Fakulta.t Paderborn
Erzbischöfliche Akademische Bibliothek Paderborn	Erzbistum Paderborn
Erzbischöfliche Diözesan- und Dombibliothek Köln mit Bibliothek Albertus Magnus	Erzbischo.fliche Dio.zesan- und Dom-Bibliothek Ko.ln
Evangelische Hochschule Berlin	Evangelische Hochschule Berlin
Evangelische Hochschule Freiburg - Hochschulbibliothek	Evangelische Hochschule Freiburg
Evangelische Hochschule Ludwigsburg	Evangelische Hochschule Ludwigsburg
Fachhochschulbibliothek Dortmund	Fachhochschule Dortmund
Fachhochschulbibliothek Münster	Fachhochschule Mu.nster
Fachhochschule Südwestfalen, Hochschulbibliothek	Fachhochschule Su.dwestfalen
FH Potsdam, Hochschulbibliothek	Fachhochschule Potsdam
Filmuniversität Babelsberg Konrad Wolf	Filmuniversita.t Babelsberg Konrad Wolf
Forschungszentrum Jülich GmbH, Zentralbibliothek	Forschungszentrum Ju.lich
Forschungszentrum Jülich GmbH, Zentralbibliothek	Forschungszentrum
Fraunhofer ICT-IMM	Fraunhofer ICT-IMM
Fraunhofer ICT-IMM	Fraunhofer-Institut fu.r Chemische Technologie
Fraunhofer-Institut für Angewandte Optik und Feinmechanik IOF Jena	Fraunhofer-Institut fu.r Angewandte Optik und Feinmechanik
Fraunhofer-Institut für Arbeitswirtschaft und Organisation	Fraunhofer-Institut fu.r Arbeitswirtschaft und Organisation
Fraunhofer-Institut für Keramische Technologien und Systeme IKTS, Dresden, Hermsdorf	Fraunhofer-Institut fu.r Keramische Technologien und Systeme
Fraunhofer-Institut für Keramische Technologien und Systeme IKTS, Dresden, Hermsdorf	Fraunhofer-Institut fu.r Keramische Technologien und Sinterwerkstoffe
Fraunhofer-Institut für Werkstoff- und Strahltechnik, IWS Dresden	Fraunhofer-Institut fu.r Werkstoff- und Strahltechnik
Friedrich-Loeffler-Institut / Bundesforschungsinstitut für Tiergesundheit	Friedrich-Loeffler-Institut
Friedrich-Loeffler-Institut / Bundesforschungsinstitut für Tiergesundheit	Friedrich-Loeffler-Institut fu.r Tierseuchenforschung
Friedrich-Loeffler-Institut / Bundesforschungsinstitut für Tiergesundheit	Friedrich-Loeffler-Institut, Insel Riems
Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin	Fritz-Haber-Institut
Führungsakademie der Bundeswehr: Fachinformationsstelle / Bibliothek	Fu.hrungsakademie der Bundeswehr
Führungsakademie der Bundeswehr: Fachinformationsstelle / Bibliothek	Bundeswehr. Fu.hrungsakademie
Geisteswissenschaftliche Zentren Berlin	Geisteswissenschaftliche Zentren Berlin
Gemeinsame Bibliothek der BA Dresden und der EHS Dresden	Berufsakademie Sachsen - Staatliche Studienakademie Dresden
Gemeinsame Bibliothek der BA Dresden und der EHS Dresden	Evangelische Hochschule Dresden
GEOMAR Bibliothek - Helmholtz-Zentrum für Ozeanforschung Kiel	Helmholtz-Zentrum fu.r Ozeanforschung Kiel
