"Institution"	"EZB-Id"	"Sigel"
"Max-Planck-Institut für Plasmaphysik"	"MPIPP"	"DE-M359"
"Max-Planck-Institut für Polymerforschung, Mainz"	"MPIP"	"DE-Mz116"
"Max-Planck-Institut für Psychiatrie"	"MPGPS"	"DE-M68"
"Max-Planck-Institut für Psycholinguistik, Nijmegen"	"MPIPL"	"DE-Y4"
"Max-Planck-Institut für Quantenoptik, Garching"	"MPQUA"	"DE-M484"
"Max-Planck-Institut für Radioastronomie, Bonn"	"MPIFR"	"DE-Bo146"
"Max-Planck-Institut für Sonnensystemforschung, Göttingen"	"MPAE"	"DE-Lin1b"
"Max-Planck-Institut für Sozialrecht und Sozialpolitik, München"	"MPISR"	"DE-M477"
"Max-Planck-Institut für terrestrische Mikrobiologie, Marburg"	"MPITM"	""
"Max-Planck-Institut für Wissenschaftsgeschichte, Berlin"	"MPIWG"	"DE-B2226"
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften"	"MPIG"	"DE-Goe164"
"Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Bonn"	"MPPRG"	"DE-Bo407"
"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel"	"BFEL"	""
"Mediathek der Popakademie Baden-Württemberg, Mannheim"	"PAK"	"DE-1933"
"Medienzentrum der Hochschule Darmstadt"	"FHDA"	"DE-Ds114"
"Medizinische Bibliothek der Charité"	"MBCB"	"DE-578-e"
"MHH-Bibliothek / Medizinische Hochschule Hannover"	"MHH"	"DE-354"
"NTNM-Bibliothek - Leibniz Institut für Neue Materialien gGmbH"	"INM"	"DE-291-415"
"Orient-Institut Istanbul"	"ORI"	""
"OTH-Bibliothek Amberg/Weiden"	"FHBAW"	"DE-1046"
"Pädagogische Hochschulbibliothek Ludwigsburg"	"PHLB"	"DE-Lg1"
"Pädagogische Hochschule Schwäbisch Gmünd - Bibliothek"	"PHGD"	"DE-752"
"Pädagogische Hochschule Weingarten (PHW)"	"HBW"	""
"Paul-Ehrlich-Institut, Bibliothek"	"PEI"	"DE-F20"
