ISIL	EZB-Id	City	Name	Stocksize
DE-960-3       	HMT	Hannover	Bibliothek der Hochschule für Musik, Theater und Medien Hannover	30001-100000
DE-960-1       	FHH	Hannover	Bibliothek der Hochschule Hannover	100001-300000
DE-Hv112       	BGR	Hannover	Bibliothek des Geozentrums Hannover BGR - LBEG - LIAG	300001-1000000
DE-Hv111       	BLH	Hannover	Bibliothek des Landeskirchenamts Hannover	100001-300000
DE-35          	GWLB	Hannover	Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek	1000001-
DE-354         	MHH	Hannover	MHH-Bibliothek / Medizinische Hochschule Hannover	100001-300000
DE-Hv131       	MLN	Hannover	Nds. Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz, Bibliothek	10001-30000
DE-Hv14        	LTN	Hannover	Niedersächsischer Landtag, Bibliothek	100001-300000
DE-Hv4         	NLA	Hannover	Niedersächsisches Landesarchiv - Dienstbibliothek	30001-100000
DE-89          	UBTIB	Hannover	Technische Informationsbibliothek (TIB)	1000001-
DE-95          	TIHO	Hannover	Tierärztliche Hochschule Hannover - Bibliothek	100001-300000
DE-1041        	HFW	Heide	Hochschulbibliothek der Fachhochschule Westküste	30001-100000
DE-He76        	PHHD	Heidelberg	Bibliothek der Pädagogischen Hochschule Heidelberg	100001-300000
DE-He81        	MPIAS	Heidelberg	Max-Planck-Institut für Astronomie, Heidelberg	10001-30000
DE-B208        	MPIV	Heidelberg	Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht	300001-1000000
DE-He74        	MPIKP	Heidelberg	Max-Planck-Institut für Kernphysik, Heidelberg	10001-30000
DE-He43        	MPIMF	Heidelberg	Max-Planck-Institut für medizinische Forschung, Heidelberg	30001-100000
DE-16          	UBHE	Heidelberg	Universitätsbibliothek Heidelberg	1000001-
DE-Hed2        	BAH	Heidenheim	Duale Hochschule Baden-Württemberg Heidenheim Bibliothek	30001-100000
